invoice_id,vendor,category,amount_czk,issued_on,due_on,po_number,cost_center,approver,is_anomaly,anomaly_type
INV-000001,Havel & Partners,legal,81415.91,2025-03-31,2025-04-27,PO-38311,CC-166,jnovak,0,
INV-000002,Red Hat Czech s.r.o.,software,92328.45,2025-05-06,2025-06-02,PO-42791,CC-106,msrnec,0,
INV-000003,T-Mobile Czech Republic,telecom,10055.12,2025-03-27,2025-05-07,PO-69113,CC-131,ldvorak,0,
INV-000004,KPMG Česká republika,consulting,62079.9,2025-12-16,2026-01-04,PO-99512,CC-108,msrnec,0,
INV-000005,Kinstellar s.r.o.,legal,57020.16,2025-08-29,2025-09-30,PO-10288,CC-202,kvarga,0,
INV-000006,KPMG Česká republika,consulting,88458.28,2025-03-05,2025-03-30,PO-29761,CC-277,tklimes,0,
INV-000007,Google Cloud EMEA,cloud,5364.99,2025-02-13,2025-03-11,PO-90643,CC-334,tklimes,0,
INV-000008,Lagardère Travel Retail,travel,17326.04,2025-05-15,2025-06-18,PO-16222,CC-309,kvarga,0,
INV-000009,KPMG Česká republika,consulting,97886.71,2025-03-31,2025-05-10,PO-68206,CC-265,tklimes,0,
INV-000010,Red Hat Czech s.r.o.,software,95307.63,2025-08-12,2025-08-31,PO-56763,CC-182,jnovak,0,
INV-000011,Office Depot s.r.o.,office_supply,510.22,2025-10-08,2025-11-08,PO-73569,CC-104,jnovak,0,
INV-000012,Lagardère Travel Retail,travel,2791.28,2025-09-18,2025-11-01,PO-91502,CC-200,kvarga,0,
INV-000013,KPMG Česká republika,consulting,79474.9,2025-10-15,2025-11-23,PO-78271,CC-345,jnovak,0,
INV-000014,Deloitte Advisory s.r.o.,consulting,43916.22,2025-06-20,2025-07-28,PO-99316,CC-186,ldvorak,0,
INV-000015,Lagardère Travel Retail,travel,7002.68,2025-05-26,2025-06-29,PO-67443,CC-191,ldvorak,0,
INV-000016,ČSA a.s.,travel,37241.38,2025-08-25,2025-09-22,PO-27285,CC-266,jnovak,0,
INV-000017,Lagardère Travel Retail,travel,23961.88,2025-12-22,2026-01-09,PO-18406,CC-191,kvarga,0,
